protein_accession	db_source	name	stringid	sym	geneid	fam
P24592	SWISS-PROT	Insulin-like growth factor binding protein 6	ENSP00000301464	IGFBP6	3489	None
P24593	SWISS-PROT	Insulin-like growth factor binding protein 5	ENSP00000233813	IGFBP5	3488	None
P24666	SWISS-PROT	Low molecular weight phosphotyrosine protein phosphatase	ENSP00000272065	ACP1	52	Enzyme
P24723	SWISS-PROT	Protein kinase C eta	ENSP00000329127	PRKCH	5583	Kinase
P24752	SWISS-PROT	Acetyl-CoA acetyltransferase, mitochondrial	ENSP00000265838	ACAT1	38	Enzyme
P24864	SWISS-PROT	G1/S-specific cyclin E1 	ENSP00000262643	CCNE1	898	None
P24941	SWISS-PROT	Cyclin-dependent kinase 2	ENSP00000266970	CDK2	1017	Kinase
P25021	SWISS-PROT	Histamine H2 receptor	ENSP00000366506	HRH2	3274	GPCR
P25024	SWISS-PROT	Interleukin-8 receptor A	ENSP00000295683	CXCR1	3577	GPCR
P25025	SWISS-PROT	Interleukin-8 receptor B	ENSP00000319635	CXCR2	3579	GPCR
P25054	SWISS-PROT	Adenomatous polyposis coli protein	ENSP00000257430	APC	324	None
P25090	SWISS-PROT	Lipoxin A4 receptor	ENSP00000340191	FPR2	2358	GPCR
P25098	SWISS-PROT	G-protein coupled receptor kinase 2	ENSP00000312262	GRK2	156	Kinase
P25100	SWISS-PROT	Alpha-1d adrenergic receptor	ENSP00000368766	ADRA1D	146	GPCR
P25101	SWISS-PROT	Endothelin receptor ET-A	ENSP00000315011	EDNRA	1909	GPCR
P25103	SWISS-PROT	Neurokinin 1 receptor	ENSP00000303522	TACR1	6869	GPCR
P25105	SWISS-PROT	Platelet activating factor receptor	ENSP00000301974	PTAFR	5724	GPCR
P25116	SWISS-PROT	Proteinase activated receptor 1	ENSP00000321326	F2R	2149	GPCR
P25774	SWISS-PROT	Cathepsin S	ENSP00000357981	CTSS	1520	Enzyme
P25929	SWISS-PROT	Neuropeptide Y receptor type 1	ENSP00000354652	NPY1R	4886	GPCR
P25963	SWISS-PROT	NF-kappaB inhibitor alpha	ENSP00000216797	NFKBIA	4792	None
P26006	SWISS-PROT	Integrin alpha-3	ENSP00000007722	ITGA3	3675	None
P26010	SWISS-PROT	Integrin beta-7	ENSP00000267082	ITGB7	3695	None
P26358	SWISS-PROT	DNA (cytosine-5)-methyltransferase 1	ENSP00000352516	DNMT1	1786	Enzyme
P26439	SWISS-PROT	3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type II	ENSP00000358424	HSD3B2	3284	Enzyme
P26639	SWISS-PROT	Threonyl-tRNA synthetase	ENSP00000265112	TARS	6897	Enzyme
P26640	SWISS-PROT	Valyl-tRNA synthetase 2	ENSP00000364815	VARS	7407	Enzyme
P26927	SWISS-PROT	Hepatocyte growth factor-like protein	ENSP00000414287	MST1	4485	Enzyme
P27037	SWISS-PROT	Activin receptor type-2A	ENSP00000241416	ACVR2A	92	Kinase
P27144	SWISS-PROT	Adenylate kinase 4	ENSP00000322175	AK4	205	Kinase
P27169	SWISS-PROT	Serum paraoxonase/arylesterase 1	ENSP00000222381	PON1	5444	Enzyme
P27338	SWISS-PROT	Monoamine oxidase B	ENSP00000367309	MAOB	4129	Enzyme
P27361	SWISS-PROT	MAP kinase ERK1	ENSP00000263025	MAPK3	5595	Kinase
P27448	SWISS-PROT	Serine/threonine-protein kinase c-TAK1	ENSP00000411397	MARK3	4140	Kinase
P27487	SWISS-PROT	Dipeptidyl peptidase IV	ENSP00000353731	DPP4	1803	Enzyme
P27540	SWISS-PROT	Aryl hydrocarbon receptor nuclear translocator	ENSP00000351407	ARNT	405	TF
P27695	SWISS-PROT	DNA-(apurinic or apyrimidinic site) lyase	ENSP00000216714	APEX1	328	Enzyme
P27707	SWISS-PROT	Deoxycytidine kinase	ENSP00000286648	DCK	1633	Kinase
P27708	SWISS-PROT	Dihydroorotase	ENSP00000264705	CAD	790	None
P27815	SWISS-PROT	Phosphodiesterase 4A	ENSP00000270474	PDE4A	5141	Enzyme
P27824	SWISS-PROT	Calnexin	ENSP00000247461	CANX	821	None
P27986	SWISS-PROT	PI3-kinase p85-alpha subunit	ENSP00000274335	PIK3R1	5295	Kinase
P27987	SWISS-PROT	Inositol-trisphosphate 3-kinase B	ENSP00000272117	ITPKB	3707	Kinase
P28062	SWISS-PROT	Proteasome subunit beta type-8	ENSP00000364016	PSMB8	5696	Enzyme
P28074	SWISS-PROT	Proteasome Macropain subunit MB1	ENSP00000355325	PSMB5	5693	Enzyme
P28161	SWISS-PROT	Glutathione S-transferase Mu 2 	ENSP00000241337	GSTM2	2946	Enzyme
P28221	SWISS-PROT	Serotonin 1d (5-HT1d) receptor	ENSP00000313661	HTR1D	3352	GPCR
P28222	SWISS-PROT	Serotonin 1b (5-HT1b) receptor	ENSP00000358963	HTR1B	3351	GPCR
P28223	SWISS-PROT	Serotonin 2a (5-HT2a) receptor	ENSP00000367959	HTR2A	3356	GPCR
P28300	SWISS-PROT	Lysyl oxidase	ENSP00000231004	LOX	4015	Enzyme
P28329	SWISS-PROT	Choline acetylase	ENSP00000337103	CHAT	1103	Enzyme
P28332	SWISS-PROT	Alcohol dehydrogenase 6 	ENSP00000378359	ADH6	130	Enzyme
P28335	SWISS-PROT	Serotonin 2c (5-HT2c) receptor	ENSP00000276198	HTR2C	3358	GPCR
P28336	SWISS-PROT	Neuromedin B receptor	ENSP00000258042	NMBR	4829	GPCR
P28340	SWISS-PROT	DNA polymerase delta subunit 1	ENSP00000406046	POLD1	5424	Enzyme
P28472	SWISS-PROT	GABA receptor beta-3 subunit	ENSP00000299267	GABRB3	2562	IC
P28476	SWISS-PROT	GABA receptor rho-2 subunit	ENSP00000386029	GABRR2	2570	IC
P28482	SWISS-PROT	MAP kinase ERK2	ENSP00000215832	MAPK1	5594	Kinase
P28562	SWISS-PROT	Dual specificity protein phosphatase 1	ENSP00000239223	DUSP1	1843	Enzyme
P28566	SWISS-PROT	Serotonin 1e (5-HT1e) receptor	ENSP00000307766	HTR1E	3354	GPCR
P28702	SWISS-PROT	Retinoid X receptor beta	ENSP00000363812	RXRB	6257	NR
P28715	SWISS-PROT	DNA excision repair protein ERCC-5	ENSP00000347978	ERCC5	2073	Enzyme
P28827	SWISS-PROT	Receptor-type tyrosine-protein phosphatase mu	ENSP00000331418	PTPRM	5797	Enzyme
P28838	SWISS-PROT	Leucine aminopeptidase	ENSP00000226299	LAP3	51056	Enzyme
P28845	SWISS-PROT	11-beta-hydroxysteroid dehydrogenase 1	ENSP00000261465	HSD11B1	3290	Enzyme
P28907	SWISS-PROT	Lymphocyte differentiation antigen CD38	ENSP00000226279	CD38	952	Enzyme
P29074	SWISS-PROT	Protein-tyrosine phosphatase MEG1	ENSP00000263708	PTPN4	5775	Enzyme
P29120	SWISS-PROT	Prohormone convertase 1	ENSP00000308024	PCSK1	5122	Enzyme
P29122	SWISS-PROT	Subtilisin/kexin type 6	ENSP00000305056	PCSK6	5046	Enzyme
P29144	SWISS-PROT	Tripeptidyl-peptidase 2	ENSP00000365233	TPP2	7174	Enzyme
P29218	SWISS-PROT	Inositol-1(or 4)-monophosphatase 1	ENSP00000408526	IMPA1	3612	Enzyme
P29274	SWISS-PROT	Adenosine A2a receptor	ENSP00000336630	ADORA2A	135	GPCR
P29275	SWISS-PROT	Adenosine A2b receptor	ENSP00000304501	ADORA2B	136	GPCR
P29317	SWISS-PROT	Ephrin type-A receptor 2	ENSP00000351209	EPHA2	1969	Kinase
P29320	SWISS-PROT	Ephrin type-A receptor 3	ENSP00000337451	EPHA3	2042	Kinase
P29322	SWISS-PROT	Ephrin type-A receptor 8	ENSP00000166244	EPHA8	2046	Kinase
P29323	SWISS-PROT	Ephrin type-B receptor 2	ENSP00000363763	EPHB2	2048	Kinase
P29350	SWISS-PROT	Protein-tyrosine phosphatase 1C	ENSP00000391592	PTPN6	5777	Enzyme
P29353	SWISS-PROT	SHC-transforming protein 1	ENSP00000401303	SHC1	6464	None
P29371	SWISS-PROT	Neurokinin 3 receptor	ENSP00000303325	TACR3	6870	GPCR
P29373	SWISS-PROT	Cellular retinoic acid-binding protein II	ENSP00000357204	CRABP2	1382	None
P29376	SWISS-PROT	Leukocyte tyrosine kinase receptor	ENSP00000263800	LTK	4058	Kinase
P29401	SWISS-PROT	Transketolase	ENSP00000405455	TKT	7086	Enzyme
P29466	SWISS-PROT	Caspase-1	ENSP00000410076	CASP1	834	Enzyme
P29474	SWISS-PROT	Nitric-oxide synthase, endothelial	ENSP00000297494	NOS3	4846	Enzyme
P29475	SWISS-PROT	Nitric-oxide synthase, brain	ENSP00000337459	NOS1	4842	Enzyme
P29597	SWISS-PROT	Tyrosine-protein kinase TYK2 	ENSP00000264818	TYK2	7297	Kinase
P29762	SWISS-PROT	Cellular retinoic acid-binding protein I	ENSP00000299529	CRABP1	1381	None
P29803	SWISS-PROT	Pyruvate dehydrogenase E1 component alpha subunit testis form	ENSP00000295266	PDHA2	5161	Enzyme
P30043	SWISS-PROT	Flavin reductase	ENSP00000263368	BLVRB	645	Enzyme
P30085	SWISS-PROT	UMP-CMP kinase	ENSP00000360939	CMPK1	51727	Kinase
P30279	SWISS-PROT	G1/S-specific cyclin D2	ENSP00000261254	CCND2	894	None
P30281	SWISS-PROT	G1/S-specific cyclin D3	ENSP00000362082	CCND3	896	None
P30291	SWISS-PROT	Serine/threonine-protein kinase WEE1	ENSP00000402084	WEE1	7465	Kinase
P30304	SWISS-PROT	Dual specificity phosphatase Cdc25A	ENSP00000303706	CDC25A	993	Enzyme
P30305	SWISS-PROT	Dual specificity phosphatase Cdc25B	ENSP00000245960	CDC25B	994	Enzyme
P30307	SWISS-PROT	Dual specificity phosphatase Cdc25C	ENSP00000321656	CDC25C	995	Enzyme
P30411	SWISS-PROT	Bradykinin B2 receptor	ENSP00000450984	BDKRB2	624	GPCR
P30419	SWISS-PROT	Peptide N-myristoyltransferase 1	ENSP00000258960	NMT1	4836	Enzyme
P30518	SWISS-PROT	Vasopressin V2 receptor	ENSP00000338072	AVPR2	554	GPCR
P30519	SWISS-PROT	Heme oxygenase 2	ENSP00000219700	HMOX2	3163	Enzyme
P30520	SWISS-PROT	Adenylosuccinate synthetase 2 	ENSP00000355493	ADSS	159	Enzyme
P30530	SWISS-PROT	Tyrosine-protein kinase receptor UFO	ENSP00000301178	AXL	558	Kinase
P30531	SWISS-PROT	GABA transporter 1	ENSP00000287766	SLC6A1	6529	Transporter
P30532	SWISS-PROT	Neuronal acetylcholine receptor protein alpha-5 subunit	ENSP00000299565	CHRNA5	1138	IC
P30536	SWISS-PROT	Translocator protein	ENSP00000328973	TSPO	706	None
P30542	SWISS-PROT	Adenosine A1 receptor	ENSP00000308549	ADORA1	134	GPCR
P30550	SWISS-PROT	Gastrin releasing peptide receptor	ENSP00000369643	GRPR	2925	GPCR
P30556	SWISS-PROT	Angiotensin II type 1 receptor	ENSP00000273430	AGTR1	185	GPCR
P30559	SWISS-PROT	Oxytocin receptor	ENSP00000324270	OXTR	5021	GPCR
P30613	SWISS-PROT	Pyruvate kinase isozymes R/L	ENSP00000339933	PKLR	5313	Kinase
P30711	SWISS-PROT	Glutathione S-transferase theta 1	ENSP00000248935	GSTT1	2952	Enzyme
P30837	SWISS-PROT	Aldehyde dehydrogenase X	ENSP00000366927	ALDH1B1	219	Enzyme
P30838	SWISS-PROT	Aldehyde dehydrogenase dimeric NADP-preferring	ENSP00000225740	ALDH3A1	218	Enzyme
P30872	SWISS-PROT	Somatostatin receptor 1	ENSP00000267377	SSTR1	6751	GPCR
P30874	SWISS-PROT	Somatostatin receptor 2	ENSP00000350198	SSTR2	6752	GPCR
P30926	SWISS-PROT	Neuronal acetylcholine receptor protein beta-4 subunit	ENSP00000261751	CHRNB4	1143	IC
P30939	SWISS-PROT	Serotonin 1f (5-HT1f) receptor	ENSP00000322924	HTR1F	3355	GPCR
P30968	SWISS-PROT	Gonadotropin-releasing hormone receptor	ENSP00000226413	GNRHR	2798	GPCR
P30988	SWISS-PROT	Calcitonin receptor	ENSP00000352561	CALCR	799	GPCR
P30989	SWISS-PROT	Neurotensin receptor 1	ENSP00000359532	NTSR1	4923	GPCR
P31040	SWISS-PROT	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	ENSP00000264932	SDHA	6389	Enzyme
P31152	SWISS-PROT	Mitogen-activated protein kinase 4	ENSP00000383234	MAPK4	5596	Kinase
P31213	SWISS-PROT	Steroid 5-alpha-reductase 2	None	SRD5A2	6716	Enzyme
P31321	SWISS-PROT	cAMP-dependent protein kinase type I-beta regulatory subunit 	ENSP00000353415	PRKAR1B	5575	Enzyme
P31323	SWISS-PROT	cAMP-dependent protein kinase type II-beta regulatory subunit 	ENSP00000265717	PRKAR2B	5577	Enzyme
P31350	SWISS-PROT	Ribonucleoside-diphosphate reductase M2 chain	ENSP00000353770	RRM2	6241	Enzyme
P31358	SWISS-PROT	CAMPATH-1 antigen	ENSP00000363330	CD52	1043	None
P31391	SWISS-PROT	Somatostatin receptor 4	ENSP00000255008	SSTR4	6754	GPCR
P31639	SWISS-PROT	Sodium/glucose cotransporter 2	ENSP00000327943	SLC5A2	6524	Transporter
P31641	SWISS-PROT	Sodium- and chloride-dependent taurine transporter	ENSP00000354107	SLC6A6	6533	Transporter
P31644	SWISS-PROT	GABA receptor alpha-5 subunit	ENSP00000335592	GABRA5	2558	IC
P31645	SWISS-PROT	Serotonin transporter	ENSP00000261707	SLC6A4	6532	Transporter
P31749	SWISS-PROT	Serine/threonine-protein kinase AKT	ENSP00000270202	AKT1	207	Kinase
P31751	SWISS-PROT	Serine/threonine-protein kinase AKT2	ENSP00000375892	AKT2	208	Kinase
P31785	SWISS-PROT	Interleukin-2 receptor gamma chain	ENSP00000363318	IL2RG	3561	None
P31939	SWISS-PROT	AICAR transformylase	ENSP00000236959	ATIC	471	None
P31944	SWISS-PROT	Caspase-14	ENSP00000221740	CASP14	23581	Enzyme
P32019	SWISS-PROT	Inositol 1,4,5-trisphosphate 5-phosphatase	ENSP00000362115	INPP5B	3633	Enzyme
P32189	SWISS-PROT	Glycerol kinase	ENSP00000368226	GK	2710	Kinase
P32238	SWISS-PROT	Cholecystokinin A receptor	ENSP00000295589	CCKAR	886	GPCR
P32239	SWISS-PROT	Cholecystokinin B receptor	ENSP00000335544	CCKBR	887	GPCR
P32241	SWISS-PROT	Vasoactive intestinal polypeptide receptor 1	ENSP00000327246	VIPR1	7433	GPCR
P32245	SWISS-PROT	Melanocortin receptor 4	ENSP00000299766	MC4R	4160	GPCR
P32246	SWISS-PROT	C-C chemokine receptor type 1	ENSP00000296140	CCR1	1230	GPCR
P32247	SWISS-PROT	Bombesin like receptor 3	ENSP00000359682	BRS3	680	GPCR
P32248	SWISS-PROT	C-C chemokine receptor type 7	ENSP00000246657	CCR7	1236	GPCR
P32297	SWISS-PROT	Neuronal acetylcholine receptor protein alpha-3 subunit	ENSP00000315602	CHRNA3	1136	IC
P32298	SWISS-PROT	G protein-coupled receptor kinase 4	ENSP00000381129	GRK4	2868	Kinase
P32302	SWISS-PROT	C-X-C chemokine receptor type 5	ENSP00000292174	CXCR5	643	GPCR
P32320	SWISS-PROT	Cytidine deaminase	ENSP00000364212	CDA	978	Enzyme
P32321	SWISS-PROT	Deoxycytidylate deaminase	ENSP00000349576	DCTD	1635	Enzyme
P32418	SWISS-PROT	Sodium/calcium exchanger 1	ENSP00000332931	SLC8A1	6546	Transporter
P32745	SWISS-PROT	Somatostatin receptor 3	ENSP00000330138	SSTR3	6753	GPCR
P32754	SWISS-PROT	4-hydroxyphenylpyruvate dioxygenase	ENSP00000289004	HPD	3242	Enzyme
P32927	SWISS-PROT	Cytokine receptor common beta chain [Precursor]	ENSP00000384053	CSF2RB	1439	None
P33032	SWISS-PROT	Melanocortin receptor 5	ENSP00000318077	MC5R	4161	GPCR
P33176	SWISS-PROT	Kinesin-1 heavy chain	ENSP00000307078	KIF5B	3799	None
P33260	SWISS-PROT	Cytochrome P450 2C18	ENSP00000285979	CYP2C18	1562	None
P33261	SWISS-PROT	Cytochrome P450 2C19	ENSP00000360372	CYP2C19	1557	None
P33316	SWISS-PROT	dUTP pyrophosphatase	ENSP00000370376	DUT	1854	Enzyme
P33402	SWISS-PROT	Guanylate cyclase soluble alpha-2 chain	ENSP00000431245	GUCY1A2	2977	Enzyme
P33527	SWISS-PROT	Multidrug resistance-associated protein 1	ENSP00000382342	ABCC1	4363	Transporter
P33765	SWISS-PROT	Adenosine A3 receptor	NA	NA	NA	NA
P33908	SWISS-PROT	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	ENSP00000357453	MAN1A1	4121	Enzyme
P33981	SWISS-PROT	Dual specificity protein kinase TTK	ENSP00000358813	TTK	7272	Kinase
P34903	SWISS-PROT	GABA receptor alpha-3 subunit	ENSP00000359334	GABRA3	2556	IC
P34913	SWISS-PROT	Epoxide hydratase	ENSP00000430269	EPHX2	2053	Enzyme
P34947	SWISS-PROT	G protein-coupled receptor kinase 5	ENSP00000376609	GRK5	2869	Kinase
P34949	SWISS-PROT	Mannose-6-phosphate isomerase	ENSP00000318318	MPI	4351	Enzyme
P34969	SWISS-PROT	Serotonin 7 (5-HT7) receptor	ENSP00000337949	HTR7	3363	GPCR
P34972	SWISS-PROT	Cannabinoid CB2 receptor	ENSP00000363596	CNR2	1269	GPCR
P34981	SWISS-PROT	Thyrotropin-releasing hormone receptor	ENSP00000309818	TRHR	7201	GPCR
P34995	SWISS-PROT	Prostanoid EP1 receptor	ENSP00000292513	PTGER1	5731	GPCR
P34998	SWISS-PROT	Corticotropin releasing factor receptor 1	ENSP00000381333	CRHR1	1394	GPCR
P35030	SWISS-PROT	Trypsin III	ENSP00000354280	PRSS3	5646	Enzyme
P35218	SWISS-PROT	Carbonic anhydrase VA	ENSP00000309649	CA5A	763	Enzyme
P35219	SWISS-PROT	Carbonic anhydrase-related protein 8	ENSP00000314407	CA8	767	Enzyme
P35222	SWISS-PROT	Catenin beta-1	ENSP00000344456	CTNNB1	1499	None
P35228	SWISS-PROT	Nitric oxide synthase, inducible	ENSP00000327251	NOS2	4843	Enzyme
P35236	SWISS-PROT	Protein-tyrosine phosphatase LC-PTP	ENSP00000309116	PTPN7	5778	Enzyme
P35346	SWISS-PROT	Somatostatin receptor 5	ENSP00000293897	SSTR5	6755	GPCR
P35348	SWISS-PROT	Alpha-1a adrenergic receptor	ENSP00000369960	ADRA1A	148	GPCR
P35354	SWISS-PROT	Cyclooxygenase-2	ENSP00000356438	PTGS2	5743	Enzyme
P35367	SWISS-PROT	Histamine H1 receptor	ENSP00000380247	HRH1	3269	GPCR
P35368	SWISS-PROT	Alpha-1b adrenergic receptor	ENSP00000306662	ADRA1B	147	GPCR
P35372	SWISS-PROT	Mu opioid receptor	ENSP00000394624	OPRM1	4988	GPCR
P35398	SWISS-PROT	Nuclear receptor ROR-alpha	ENSP00000261523	RORA	6095	NR
P35408	SWISS-PROT	Prostanoid EP4 receptor	ENSP00000302846	PTGER4	5734	GPCR
P35462	SWISS-PROT	Dopamine D3 receptor	ENSP00000373169	DRD3	1814	GPCR
P35498	SWISS-PROT	Sodium channel protein type I alpha subunit	ENSP00000303540	SCN1A	6323	IC
P35499	SWISS-PROT	Sodium channel protein type IV alpha subunit	ENSP00000396320	SCN4A	6329	IC
P35557	SWISS-PROT	Hexokinase type IV	ENSP00000223366	GCK	2645	Kinase
P35558	SWISS-PROT	Phosphoenolpyruvate carboxykinase cytosolic	ENSP00000319814	PCK1	5105	Kinase
P35573	SWISS-PROT	Glycogen debranching enzyme	ENSP00000294724	AGL	178	None
P35575	SWISS-PROT	Glucose-6-phosphatase	ENSP00000253801	G6PC	2538	Enzyme
P35590	SWISS-PROT	Tyrosine-protein kinase receptor Tie-1	ENSP00000361554	TIE1	7075	Kinase
P35610	SWISS-PROT	Acyl coenzyme A:cholesterol acyltransferase 1	ENSP00000356591	SOAT1	6646	Enzyme
P35626	SWISS-PROT	Beta-adrenergic receptor kinase 2	ENSP00000317578	GRK3	157	Kinase
P35790	SWISS-PROT	Choline kinase alpha 	ENSP00000265689	CHKA	1119	Kinase
P35813	SWISS-PROT	Protein phosphatase 2C alpha	ENSP00000327255	PPM1A	5494	Enzyme
P35869	SWISS-PROT	Aryl hydrocarbon receptor	ENSP00000242057	AHR	196	TF
P35913	SWISS-PROT	Phosphodiesterase 6B	ENSP00000420295	PDE6B	5158	Enzyme
P35916	SWISS-PROT	Vascular endothelial growth factor receptor 3	ENSP00000261937	FLT4	2324	Kinase
P35968	SWISS-PROT	Vascular endothelial growth factor receptor 2	ENSP00000263923	KDR	3791	Kinase
P36402	SWISS-PROT	Transcription factor 7	ENSP00000340347	TCF7	6932	TF
P36507	SWISS-PROT	Dual specificity mitogen-activated protein kinase kinase 2	ENSP00000262948	MAP2K2	5605	Kinase
P36537	SWISS-PROT	UDP-glucuronosyltransferase 2B10	ENSP00000265403	UGT2B10	7365	Enzyme
P36544	SWISS-PROT	Neuronal acetylcholine receptor protein alpha-7 subunit	ENSP00000299847	CHRFAM7A	89832	IC
P36873	SWISS-PROT	Serine/threonine protein phosphatase PP1-gamma catalytic subunit	ENSP00000335084	PPP1CC	5501	Enzyme
P36888	SWISS-PROT	Tyrosine-protein kinase receptor FLT3	ENSP00000241453	FLT3	2322	Kinase
P36894	SWISS-PROT	Bone morphogenetic protein receptor type-1A	ENSP00000224764	BMPR1A	657	Kinase
P36896	SWISS-PROT	Activin receptor type-1B	ENSP00000442656	ACVR1B	91	Kinase
P36897	SWISS-PROT	TGF-beta receptor type I	ENSP00000364133	TGFBR1	7046	Kinase
P37023	SWISS-PROT	Serine/threonine-protein kinase receptor R3	ENSP00000373574	ACVRL1	94	Kinase
P37058	SWISS-PROT	Estradiol 17-beta-dehydrogenase 3	ENSP00000364412	HSD17B3	3293	Enzyme
P37059	SWISS-PROT	Estradiol 17-beta-dehydrogenase 2	ENSP00000199936	HSD17B2	3294	Enzyme
P37088	SWISS-PROT	Amiloride-sensitive sodium channel alpha-subunit	ENSP00000353292	SCNN1A	6337	IC
P37173	SWISS-PROT	TGF-beta receptor type II	ENSP00000351905	TGFBR2	7048	Kinase
P37231	SWISS-PROT	Peroxisome proliferator-activated receptor gamma	ENSP00000287820	PPARG	5468	NR
P37268	SWISS-PROT	Squalene synthetase	ENSP00000220584	FDFT1	2222	Enzyme
P37288	SWISS-PROT	Vasopressin V1a receptor	ENSP00000299178	AVPR1A	552	GPCR
P37840	SWISS-PROT	Alpha-synuclein	ENSP00000338345	SNCA	6622	None
P38398	SWISS-PROT	Breast cancer type 1 susceptibility protein	ENSP00000418960	BRCA1	672	None
P38435	SWISS-PROT	Vitamin K-dependent gamma-carboxylase	ENSP00000233838	GGCX	2677	Enzyme
P38484	SWISS-PROT	Interferon-gamma receptor beta chain	ENSP00000290219	IFNGR2	3460	None
P38571	SWISS-PROT	Lysosomal acid lipase/cholesteryl ester hydrolase 	ENSP00000337354	LIPA	3988	Enzyme
P38936	SWISS-PROT	CDK-interacting protein 1	ENSP00000244741	CDKN1A	1026	Enzyme
P39086	SWISS-PROT	Glutamate receptor ionotropic kainate 1	ENSP00000382791	GRIK1	2897	IC
P39656	SWISS-PROT	Oligosaccharyl transferase 48 kDa subunit	ENSP00000364188	DDOST	1650	Enzyme
P39748	SWISS-PROT	Flap endonuclease 1	ENSP00000305480	FEN1	2237	Enzyme
P39877	SWISS-PROT	Phospholipase A2 group V	ENSP00000364249	PLA2G5	5322	Enzyme
P39900	SWISS-PROT	Matrix metalloproteinase 12	None	MMP12	4321	Enzyme
P40145	SWISS-PROT	Adenylate cyclase type VIII	ENSP00000286355	ADCY8	114	Enzyme
P40238	SWISS-PROT	Thrombopoietin receptor	ENSP00000361548	MPL	4352	None
P40313	SWISS-PROT	Chymotrypsin-like protease CTRL-1	ENSP00000458537	CTRL	1506	Enzyme
P40394	SWISS-PROT	Alcohol dehydrogenase class IV 	ENSP00000420269	ADH7	131	Enzyme
P40424	SWISS-PROT	Homeobox protein PBX-1	ENSP00000405890	PBX1	5087	TF
P40763	SWISS-PROT	Signal transducer and activator of transcription 3	ENSP00000264657	STAT3	6774	TF
P40925	SWISS-PROT	Malate dehydrogenase cytoplasmic 	ENSP00000438144	MDH1	4190	Enzyme
P40926	SWISS-PROT	Malate dehydrogenase, mitochondrial	ENSP00000327070	MDH2	4191	Enzyme
P41134	SWISS-PROT	DNA-binding protein inhibitor ID-1	ENSP00000365280	ID1	3397	TF
P41143	SWISS-PROT	Delta opioid receptor	ENSP00000234961	OPRD1	4985	GPCR
P41145	SWISS-PROT	Kappa opioid receptor	ENSP00000265572	OPRK1	4986	GPCR
P41146	SWISS-PROT	Nociceptin receptor	ENSP00000336764	OPRL1	4987	GPCR
P41180	SWISS-PROT	Calcium sensing receptor	ENSP00000420194	CASR	846	GPCR
P41231	SWISS-PROT	Purinergic receptor P2Y2	ENSP00000310305	P2RY2	5029	GPCR
P41235	SWISS-PROT	Hepatocyte nuclear factor 4-alpha	ENSP00000312987	HNF4A	3172	NR
P41240	SWISS-PROT	Tyrosine-protein kinase CSK	ENSP00000220003	CSK	1445	Kinase
P41252	SWISS-PROT	Isoleucyl-tRNA synthetase	ENSP00000364794	IARS	3376	Enzyme
P41279	SWISS-PROT	Mitogen-activated protein kinase kinase kinase 8	ENSP00000263056	MAP3K8	1326	Kinase
P41439	SWISS-PROT	Folate receptor gamma	ENSP00000399235	FOLR3	2352	None
P41440	SWISS-PROT	Folate transporter 1	ENSP00000308895	SLC19A1	6573	Transporter
P41586	SWISS-PROT	Pituitary adenylate cyclase-activating polypeptide type I receptor	ENSP00000379514	ADCYAP1R1	117	GPCR
P41587	SWISS-PROT	Vasoactive intestinal polypeptide receptor 2	ENSP00000262178	VIPR2	7434	GPCR
P41594	SWISS-PROT	Metabotropic glutamate receptor 5	ENSP00000306138	GRM5	2915	GPCR
P41595	SWISS-PROT	Serotonin 2b (5-HT2b) receptor	ENSP00000258400	HTR2B	3357	GPCR
P41597	SWISS-PROT	C-C chemokine receptor type 2	ENSP00000292301	CCR2	729230	GPCR
P41743	SWISS-PROT	Protein kinase C iota	ENSP00000295797	PRKCI	5584	Kinase
P41968	SWISS-PROT	Melanocortin receptor 3	ENSP00000243911	MC3R	4159	GPCR
P42224	SWISS-PROT	Signal transducer and activator of transcription 1-alpha/beta	ENSP00000354394	STAT1	6772	TF
P42226	SWISS-PROT	Signal transducer and activator of transcription 6	ENSP00000300134	STAT6	6778	TF
P42229	SWISS-PROT	Signal transducer and activator of transcription 5A	ENSP00000341208	STAT5A	6776	TF
P42261	SWISS-PROT	Glutamate receptor ionotropic, AMPA 1	ENSP00000285900	GRIA1	2890	IC
P42262	SWISS-PROT	Glutamate receptor ionotropic, AMPA 2	ENSP00000264426	GRIA2	2891	IC
P42263	SWISS-PROT	Glutamate receptor ionotropic, AMPA 3	ENSP00000264357	GRIA3	2892	IC
P42330	SWISS-PROT	Aldo-keto-reductase family 1 member C3	ENSP00000369927	AKR1C3	8644	Enzyme
P42336	SWISS-PROT	PI3-kinase p110-alpha subunit	ENSP00000263967	PIK3CA	5290	Kinase
P42338	SWISS-PROT	PI3-kinase p110-beta subunit	ENSP00000289153	PIK3CB	5291	Kinase
P42345	SWISS-PROT	FK506 binding protein 12	ENSP00000354558	MTOR	2475	Kinase
P42356	SWISS-PROT	PI4-kinase alpha subunit	ENSP00000458238	PI4KA	5297	Kinase
P42357	SWISS-PROT	Histidase	ENSP00000261208	HAL	3034	Enzyme
P42574	SWISS-PROT	Caspase-3	ENSP00000311032	CASP3	836	Enzyme
P42575	SWISS-PROT	Caspase-2	ENSP00000312664	CASP2	835	Enzyme
